card_name,issuer,card_tier,joining_fee,annual_fee,min_income_annual_lakhs,base_reward_rate,reward_unit,point_value,travel_multiplier,air_india_transfer_ratio,milestone_ticket,domestic_lounge,international_lounge,forex_markup,reward_redemption_fee,is_ltf,search_tags,monthly_reward_cap,lounge_cap_details,retention_spend_req,forex_effective,emirates_suitability,notes_tnc,fuel_reward_rate,fuel_cap,surcharge_waiver,Transaction Range (min – max),~,multiplier_channel,direct_booking_rate,airline_partners__001,airline_partners__002,airline_partners__003,airline_partners__004,points_redemption_value_travel,instant_discount_eligible,booking_convenience_fee_waiver,grocery_rate,dining_rate,movie_rate,lifestyle_cap,milestone_benefit,joining_benefit,airline_transfer_json,hotel_transfer_json,gift_vouchers,detailed_rewards_json
Kotak White Res.,Kotak,Ultra,12500,12500,36,1.25%,Points,1.0,1,1.0,No,Unlimited,Unlimited,2%,0.0,False,"luxury, lifestyle",Kotak Caps,Unlimited,,2.36%,Med,White Pass vouchers.,0.00%,₹3500 (Yearly),1.00%,₹400 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1.25%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
SBI SimplyCLICK,SBI,Entry,499,499,6,1.25%,Points,0.25,1,0.0,No,0,0,3.5%,99.0,False,"online, shopping",SBI Entry Caps,,,3.89%,Low,10x partner online.,0.00%,₹100.00,1.00%,₹500 - ₹3000,All Stations,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,1.25%,1.25%,1.25%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1.25%""}"
IndusInd Pinnacle,IndusInd,Premium,0,0,24,1.5%,Points,0.5,2,0.5,No,12,4,1.99%,99.0,True,"premium, ltf, travel",IndusInd Caps,Spend-based,,2.35%,Med,"LTF premium; 2x travel.""[web:36]",0.00%,₹500.00,1.00%,₹500 - ₹3000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1.5%,No Cap,High Spend Vouchers,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1.5%""}"
Axis Select,Axis,Premium,3000,3000,12-18,1%,Points,0.2,1,0.2,No,8,12,3.5%,,False,"bigbasket, lifestyle",Varies,Spend-based,"Rent, wallet, govt, fuel, insurance",,3.89%,Low-Med,0.00%,₹500.00,1.00%,₹400 - ₹4000,All Stations,Direct & Travel Edge,1%-2%,Vistara,Air India,IndiGo,Akasa,0.2,10% on Cleartrip/Yatra,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
BOB Eterna,BOB,Premium,2499,2499,12-18,0.75%,Points,0.25,1,0.0,No,Unlimited,0,2%,,False,"dining, unlimited",,Unlimited dom,"Rent, wallet, govt, fuel, insurance",,2.36%,Low-Med,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,0.75%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Canara World,Canara,Mid,500,500,5-10,0.5%,Points,0.25,1,0.0,No,4,0,3.5%,,False,"budget, lounge",,4 dom quarterly,"Rent, wallet, govt, fuel, insurance",,3.89%,Low,0.00%,₹250.00,1.00%,₹400 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,2.0%,0.5%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
PNB RuPay Select,PNB,Mid,0,0,3.6,0.5%,Points,0.25,1,0.0,No,8,0,3.5%,,True,"upi, lounge",,8 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹250.00,1.00%,₹500 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,2.0%,0.5%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
IndusInd Pioneer,IndusInd,Ultra,0,0,36-50,1%,Points,1.0,1,1.0,No,Unlimited,Unlimited,1.5%,,True,"private, lounge",Varies,Unlimited,"Rent, wallet, govt, fuel, insurance",,1.77%,Med-High,0.00%,No Cap*,1.00%,₹500 - ₹10000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
Amex Gold,Amex,Mid,1000,4500,6-12,1%,Points,0.4,1,0.5,No,0,0,3.5%,,False,"rewards, dining",Varies,,"Rent, wallet, govt, fuel, insurance",,3.89%,Low,0.00%,No Cap*,Convenience Fee,Under ₹5000,HPCL Only,Amex Travel / Reward Multiplier,Base MR,IndiGo (via Miles),Air India,Singapore Air,,0.4,Platinum Private Deals,0,5x Points,5x Points,1x,No Cap,1k Bonus Points on 6 Swipes,"4,000 to 10,000 Bonus Points","{""Air India"": ""1:1"", ""Vistara"": ""1:1"", ""Emirates"": ""1:0.5""}","{""Marriott"": ""1:1"", ""Hilton"": ""1:1""}",Amex Gold Collection Vouchers,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Multiplier"": ""2x - 5x via Reward Multiplier""}"
Amex MRCC,Amex,Mid,1000,4500,6-12,0.5%,Points,0.4,1,0.5,No,0,0,3.5%,,False,"milestones, rewards",Varies,,"Rent, wallet, govt, fuel, insurance",,3.89%,Low,0.00%,No Cap*,Convenience Fee,Under ₹5000,HPCL Only,Amex Travel / Reward Multiplier,Base MR,IndiGo (via Miles),Air India,Singapore Air,,0.4,Platinum Private Deals,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,"4,000 to 10,000 Bonus Points","{""Air India"": ""1:1"", ""Vistara"": ""1:1"", ""Emirates"": ""1:0.5""}","{""Marriott"": ""1:1"", ""Hilton"": ""1:1""}",Amex Gold Collection Vouchers,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Multiplier"": ""2x - 5x via Reward Multiplier""}"
AU Zenith,AU,Premium,7999,7999,25-40,1%,Points,0.25,1,1.0,No,16,16,1.99%,,False,"premium, luxury",Varies,Spend-based,"Rent, wallet, govt, fuel, insurance",,2.35%,Med,0.00%,"₹1,000.00",1.00%,No Limit*,All Stations,,,,,,,,0,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
ICICI Rubyx,ICICI,Mid,3000,2000,6-12,0.5%,Points,0.25,1,0.2,No,8,0,3.5%,,False,"dual_card, shopping",Varies,Spend-based,"Rent, wallet, govt, fuel, insurance",,3.89%,Low,0.00%,₹200.00,1.00%,₹400 - ₹4000,All Stations,Direct / MakeMyTrip,1%,All major,,,,0.25,10% ICICI Tuesdays,0,0.5%,2.0%,0.5%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
ICICI Coral,ICICI,Entry,500,500,3-6,0.5%,Points,0.25,1,0.0,No,4,0,3.5%,,False,"entry, movie",,4 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹200.00,1.00%,₹400 - ₹4000,All Stations,Direct / MakeMyTrip,1%,All major,,,,0.25,10% ICICI Tuesdays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
HDFC MoneyBack+,HDFC,Entry,500,500,3-6,0.5%,Points,0.25,1,0.0,No,0,0,3.5%,,False,"entry, grocery",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
IndusInd Platinum,IndusInd,Entry,0,0,3-6,0.5%,Points,0.25,1,0.2,No,0,0,3.5%,,True,"ltf, budget",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹100.00,1.00%,₹500 - ₹3000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
Kotak League,Kotak,Entry,0,499,3-6,0.5%,Points,0.25,1,0.0,No,0,0,3.5%,,False,"shopping, movie",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹3500 (Yearly),1.00%,₹500 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
RBL Popcorn,RBL,Entry,1000,1000,3-6,1%,Points,0.25,1,0.0,No,0,0,3.5%,,False,"movie, fun",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹100.00,1.00%,₹500 - ₹4000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
YES First Exclusive,YES,Premium,10000,10000,15-30,1.5%,Points,0.25,1,1.0,No,Unlimited,Unlimited,1.75%,,False,"luxury, travel",Varies,Unlimited,"Rent, wallet, govt, fuel, insurance",,2.07%,Med,0.00%,₹250.00,1.00%,Min ₹500,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1.5%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
IndusInd EazyDiner,IndusInd,Mid,1999,1999,6-12,2%,Points,1.0,1,1.0,No,2,0,3.5%,,False,"dining, discount",,2 dom quarterly,"Rent, wallet, govt, fuel, insurance",,3.89%,Low,0.00%,₹250.00,1.00%,₹500 - ₹3000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2%,2.0%,2%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Axis Vistara Signature,Axis,Premium,3000,3000,12-18,1%,CV_Points,1.0,1,1.0,Yes,8,0,3.5%,,False,"vistara, air_india",Varies,8 dom quarterly,"Rent, wallet, govt, fuel, insurance",,3.89%,Med,0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & Vistara Website,2%-5% (Co-branded),Vistara,Air India,,,1.0,10% on Cleartrip/Yatra,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
SBI Vistara Prime,SBI,Premium,2999,2999,12-18,2%,CV_Points,1.0,1,1.0,Yes,8,0,3.5%,,False,"vistara, air_india",Varies,8 dom quarterly,"Rent, wallet, govt, fuel, insurance",,3.89%,Med,0.00%,₹250.00,1.00%,All Transactions,All Stations,Direct & Vistara Website,2%-5% (Co-branded),Vistara,Air India,,,1.0,10% SBI Sales,0,2.0%,3.0%,2%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
HDFC Tata Neu Plus,HDFC,Entry,499,499,3-6,1%,NeuCoins,1.0,2,1.0,No,4,0,3.5%,,False,"tata, upi, budget",,4 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,Direct & Tata Neu Website,2%-5% (Co-branded),Air India,Air India Express,BigBasket,IndiGo (Limited),1.0,10% on SmartBuy (Cycles),0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
Federal Imperio,Federal,Mid,1500,1500,6-12,1%,Points,0.25,1,0.0,No,4,0,2%,,False,"lifestyle, movie",,4 dom quarterly,"Rent, wallet, govt, fuel",,2.36%,Low,0.00%,₹1500 (Quarterly),1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
AU Altura+,AU,Mid,499,499,3.6,1%,Points,0.25,1,0.0,No,8,0,3.5%,,False,"cashback, grocery",,8 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹150.00,1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
IDFC FIRST Millennia,IDFC,Entry,0,0,3-6,0.75%,Points,0.25,1,0.5,No,0,0,3.5%,,True,"ltf, upi, youth",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹200.00,1.00%,₹200 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.75%,0.75%,0.75%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.75%""}"
BOB Varun,BOB,Entry,0,0,3-6,0.5%,Points,0.25,1,0.0,No,0,0,3.5%,,True,"navy, banking",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹250.00,1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
Standard Ch. Smart,SCB,Entry,499,499,4.2,2%,Cashback,1.0,1,0.0,No,0,0,3.4%,,False,"online, digital",,,"Rent, wallet, govt, fuel",,4.01%,Low,0.00%,₹500*,1.00%,Min ₹400,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2%,2%,2%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""2%""}"
Axis Neo,Axis,Entry,250,250,3-6,0.2%,Points,0.2,1,0.0,No,0,0,3.5%,,False,"zomato, entry",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹50.00,1.00%,₹200 - ₹5000,IOCL Only,Direct & Travel Edge,1%-2%,Vistara,Air India,IndiGo,Akasa,0.2,10% on Cleartrip/Yatra,0,0.2%,0.2%,0.2%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.2%""}"
YES Prosperity Rewards,YES,Entry,499,499,3-6,0.5%,Points,0.25,1,0.2,No,0,0,3.5%,,False,"rewards, entry",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹125.00,1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
IDFC FIRST Power,IDFC,Entry,0,0,3-6,1%,Points,0.25,1,0.0,No,0,0,3.5%,,True,"fuel, budget",,,"Rent, wallet, govt, fuel",,3.89%,Low,5% (HPCL)*,₹125 (Rewards),1.00%,Min ₹200,HPCL Primary,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
IndusInd Nexxt,IndusInd,Mid,1999,0,6-12,1%,Points,1.0,1,0.5,No,4,0,3.5%,,True,"emi, gadgets",,4 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹250.00,1.00%,₹500 - ₹3000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
Axis SpiceJet,Axis,Entry,0,0,3-6,1%,Points,1.0,1,0.0,No,0,0,3.5%,,True,"travel, spicejet",,,"Rent, wallet, govt, fuel",,3.89%,Med (SpiceJet),0.00%,₹400.00,1.00%,₹400 - ₹4000,All Stations,Direct & SpiceJet Website,2%-5% (Co-branded),SpiceJet,,,,1.0,10% on Cleartrip/Yatra,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
RBL BIKESafe,RBL,Entry,0,0,3-6,0.5%,Points,0.25,1,0.0,No,0,0,3.5%,,True,"fuel, safety",,,"Rent, wallet, govt, fuel",,3.89%,Low,5% (IOCL)*,₹100.00,1.00%,₹100 - ₹4000,IOCL Primary,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.5%,0.5%,0.5%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.5%""}"
IDFC FIRST Classic,IDFC,Entry,0,0,3-6,0.75%,Points,0.25,1,0.5,No,0,0,3.5%,,True,"ltf, budget",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹200.00,1.00%,₹200 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.75%,0.75%,0.75%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.75%""}"
SBI SimplySAVE,SBI,Entry,499,499,3-6,0.25%,Points,0.25,1,0.0,No,0,0,3.5%,,False,"offline, grocery",,,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹100.00,1.00%,₹500 - ₹3000,All Stations,Direct & SBI Card Portal,0.25%-1.25%,Air India,Vistara,IndiGo,,0.25,10% SBI Sales,0,0.25%,0.25%,0.25%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.25%""}"
AU LIT,AU,Entry,0,0,3-6,1%,Points,0.25,1,0.0,No,0,0,3.5%,,True,"custom, features",,,"Rent, wallet, govt, fuel",,3.89%,Low,0% (Base),₹150*,1.00%,₹400 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
Kotak Zen,Kotak,Mid,1500,1500,6-12,1%,Points,0.25,1,0.5,No,8,0,3.5%,,False,"lifestyle, rewards",Varies,8 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Low,0.00%,₹100.00,1.00%,₹500 - ₹3000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
ICICI MMT Sig,ICICI,Mid,2500,0,6-12,1%,MyCash,1.0,1,0.0,No,4,1,3.5%,,True,"makemytrip, travel",,4 dom quarterly,"Rent, wallet, govt, fuel",,3.89%,Med (MMT),0.00%,₹100.00,1.00%,Max ₹4000,HPCL Only,Direct & MMT Website,2%-5% (Co-branded),MakeMyTrip,IndiGo,Akasa,Air India,1.0,10% ICICI Tuesdays,0,1%,2.0%,1%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
HDFC Business Regalia,HDFC,Premium,2500,2500,12-18,1.3%,Points,0.5,5,0.5,No,12,6,2%,,False,"business, travel",Varies,Spend-based,"Rent, wallet, govt, fuel",,2.36%,Med,0%,₹250,1.00%,₹400 - ₹5000,All Stations,SmartBuy Portal,0.33%-1%,IndiGo,Air India,Vistara,SpicelJet,1.0,10% on SmartBuy (Cycles),0,2.0%,3.0%,1.3%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Bank of Baroda Eterna,BOB,Premium,2499,2499,12-18,0.75%,Points,0.25,1,0.0,No,Unlimited,0,2%,,False,"unlimited_lounge, dining",,Unlimited dom,"Rent, wallet, govt, fuel, insurance",,2.36%,Low-Med,0% (Excluded),₹250,1%,"₹400 – ₹5,000",All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,0.75%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
Federal Celesta,Federal,Premium,3000,3000,15-25,1%,Points,0.25,1,0.0,No,Unlimited,4,2%,,False,"premium, lounge",Varies,Unlimited dom + 4 intl,"Rent, wallet, govt, fuel",,2.36%,Med,0.00%,₹300.00,1.00%,₹200 - ₹5000,All Stations,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,2.0%,3.0%,1%,No Cap,High Spend Vouchers,Welcome points equivalent to fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded""}"
IDFC FIRST Select,IDFC,Mid,0,0,9-15,0.75%,Points,0.25,1,0.5,No,8,0,1.99%,,True,"ltf, movies",,8 dom quarterly,"Rent, wallet, govt, fuel",,2.35%,Low,0.00%,₹300 per statement cycle,1.00%,"₹200 to ₹5,000",All Fuel Stations across India,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,0.75%,2.0%,0.75%,No Cap,Annual Fee Waiver,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""0.75%""}"
RBL Monthly Treat,RBL,Entry,0,600,3-6,1%,Points,0.25,1,0.0,No,0,0,3.5%,,False,"monthly_fee, grocery",,,"Rent, wallet, govt, fuel",,3.89%,Low,,,,,,Direct,Base,Major Carriers,,,,0.25,Bank Holidays,0,1%,1%,1%,No Cap,Fee Waiver only,No Joining Fee,"{""General"": ""N/A""}","{""General"": ""N/A""}",Available via Reward Portal,"{""Utility"": ""Base Rate"", ""Insurance"": ""Excluded"", ""Rent"": ""Excluded"", ""Base"": ""1%""}"
